Park,Location,Zip Code,Park_Class
MCGUANE (JOHN),2901 S POPLAR AVE,60608,COMMUNITY PARK
ARMOUR (PHILIP) SQUARE,3309 S SHIELDS AVE,60616,COMMUNITY PARK
FULLER (MELVILLE),331 W 45TH ST,60609,COMMUNITY PARK
CORNELL (PAUL) SQUARE,1809 W 50TH ST,60609,COMMUNITY PARK
RUSSELL (MARTIN) SQUARE,3045 E 83RD ST,60617,COMMUNITY PARK
SHERMAN (JOHN),1307 W 52ND ST,60609,REGIONAL PARK
DAVIS (DR. NATHAN) SQUARE,4430 S MARSHFIELD AVE,60609,COMMUNITY PARK
OGDEN (WILLIAM),6500 S RACINE AVE,60636,REGIONAL PARK
HAMILTON (ALEXANDER),513 W 72ND ST,60621,REGIONAL PARK
CALUMET,9801 S AVENUE G,60617,CITYWIDE PARK
WASHINGTON (GEORGE),5531 S DR MARTIN LUTHER KING J,60637,CITYWIDE PARK
NINEBARK,1447-1453 S HARDING AVE,60623,MINI-PARK
MARQUETTE (JACQUES),6734 S KEDZIE AVE,60629,CITYWIDE PARK
BESSEMER (HENRY),8930 S MUSKEGON AVE,60617,REGIONAL PARK
PALMER (POTTER),200 E 111TH ST,60628,REGIONAL PARK
CHOPIN (FREDERIC),3420 N LONG AVE,60641,COMMUNITY PARK
GRAND CROSSING,7655 S INGLESIDE AVE,60619,REGIONAL PARK
TRUMBULL (LYMAN),2400 E 105TH ST,60617,REGIONAL PARK
MANN (JAMES),3035 E 130TH ST,60633,REGIONAL PARK
TULEY (MURRAY),501 E 90TH PL,60619,REGIONAL PARK
JACKSON (ANDREW),6401 S STONY ISLAND AVE,60637,MAGNET PARK
GAGE (GEORGE),2415 W 55TH ST,60629,REGIONAL PARK
MCKINLEY (WILLIAM),2210 W PERSHING RD,60609,REGIONAL PARK
GRANT (ULYSSES),331 E RANDOLPH ST,60605,MAGNET PARK
FOSTER (J. FRANK),1400 W 84TH ST,60620,REGIONAL PARK
BURNHAM (DANIEL),425 E MCFETRIDGE DR,60616,MAGNET PARK
AVALON,1215 E 83RD ST,60619,REGIONAL PARK
RAINEY (EDWARD),4350 W 79TH ST,60652,REGIONAL PARK
NORTHERLY ISLAND,1400 S LYNN WHITE DR,60605,MAGNET PARK
GOMPERS (SAMUEL),4222 W FOSTER AVE,60630,REGIONAL PARK
BOHN (HENRY),1978 W 111TH ST,60643,PASSIVE PARK
CRESCENT,2230 W 108TH PL,60643,COMMUNITY PARK
KENNEDY (DENNIS),11320 S WESTERN AVE,60655,COMMUNITY PARK
CRAWFORD (PETER),1516 S KARLOV AVE,60623,MINI-PARK
FIELD (EUGENE),5100 N RIDGEWAY AVE,60625,COMMUNITY PARK
KIWANIS,3315 W CARMEN AVE,60625,PASSIVE PARK
ADA (SAWYER GARRETT),11250 S ADA ST,60643,REGIONAL PARK
PROSPECT GARDENS,10970 S PROSPECT AVE,60643,PASSIVE PARK
ALMOND,2234 W 115TH ST,60643,PASSIVE PARK
MONUMENT,6700 N AVONDALE AVE,60631,NEIGHBORHOOD PARK
ORIOLE,5430 N OLCOTT AVE,60656,REGIONAL PARK
OLYMPIA,6566 N AVONDALE AVE,60631,COMMUNITY PARK
KOSCIUSZKO (THADEUZ),2732 N AVERS AVE,60647,COMMUNITY PARK
BROOKS (OSCAR),7046 N HARLEM AVE,60631,COMMUNITY PARK
EDISON (THOMAS ALVA),6755 N NORTHWEST HWY,60631,NEIGHBORHOOD PARK
FERNWOOD,10436 S WALLACE ST,60628,COMMUNITY PARK
EUCLID,9800 S PARNELL AVE,60628,COMMUNITY PARK
FOREST GLEN,5073 W BERWYN AVE,60630,MINI-PARK
HOLLYWOOD,3312 W THORNDALE AVE,60659,COMMUNITY PARK
ATHLETIC FIELD,3546 W ADDISON ST,60618,NEIGHBORHOOD PARK
AVONDALE,3516 W SCHOOL ST,60618,COMMUNITY PARK
JENSEN (CHRIST),4600 N LAWNDALE AVE,60625,NEIGHBORHOOD PARK
INDEPENDENCE,3945 N SPRINGFIELD AVE,60618,COMMUNITY PARK
KILBOURN,3501 N KILBOURN AVE,60641,COMMUNITY PARK
KOLMAR,4143 N KOLMAR AVE,60641,NEIGHBORHOOD PARK
MAYFAIR,4550 W SUNNYSIDE AVE,60630,NEIGHBORHOOD PARK
NORTH MAYFAIR,4537 W CARMEN AVE,60630,NEIGHBORHOOD PARK
ROSEDALE,6312 W ROSEDALE AVE,60646,COMMUNITY PARK
GLADSTONE (WILLIAM),5421 N MENARD AVE,60630,NEIGHBORHOOD PARK
HURLEY (TIMOTHY),1901 W 100TH ST,60643,NEIGHBORHOOD PARK
JEFFERSON (THOMAS) MEML.,4822 N LONG AVE,60630,COMMUNITY PARK
ROBERTS (DANIEL) SQUARE,5230 W ARGYLE ST,60630,NEIGHBORHOOD PARK
LINCOLN (ABRAHAM),200 W FULLERTON PKWY,60614,MAGNET PARK
CHASE (SALMON),4725 N ASHLAND AV,60640,COMMUNITY PARK
EMMERSON (LOUIS),1820 W GRANVILLE AVE,60660,NEIGHBORHOOD PARK
GOUDY (WILLIAM) SQUARE,1255 N ASTOR ST,60610,MINI-PARK
HAMLIN (HANNIBAL),3035 N HOYNE AVE,60618,COMMUNITY PARK
LAKE SHORE,254 E CHICAGO AVE,60611,COMMUNITY PARK
WILSON (FRANK),4630 N MILWAUKEE AVE,60630,COMMUNITY PARK
SEWARD (WILLIAM),375 W ELM ST,60610,COMMUNITY PARK
STANTON (EDWIN),640 W SCOTT ST,60610,COMMUNITY PARK
WELLES (GIDEON),2333 W SUNNYSIDE AVE,60625,REGIONAL PARK
LOYOLA,1230 W GREENLEAF AVE,60626,REGIONAL PARK
DOUGLASS (ANNA & FREDERICK),1401 S SACRAMENTO DR,60623,CITYWIDE PARK
"BELL (GEORGE,JR.)",3020 N OAK PARK AVE,60634,NEIGHBORHOOD PARK
BLACKHAWK,2318 N LAVERGNE AVE,60639,COMMUNITY PARK
RIIS (JACOB),6100 W FULLERTON AVE,60639,REGIONAL PARK
SIMONS (ALMIRA),1640 N DRAKE AVE,60647,COMMUNITY PARK
HERMOSA,2240 N KILBOURN AVE,60639,NEIGHBORHOOD PARK
KELVYN (WILLIAM),4438 W WRIGHTWOOD AVE,60639,COMMUNITY PARK
RUTHERFORD SAYRE,6871 W BELDEN AVE,60635,COMMUNITY PARK
MOZART (AMADEUS),2036 N AVERS AVE,60647,COMMUNITY PARK
AMUNDSEN (ROALD),6200 W BLOOMINGDALE AVE,60639,COMMUNITY PARK
GALEWOOD,5729 W BLOOMINGDALE AVE,60639,NEIGHBORHOOD PARK
CRAGIN,2611 N LOCKWOOD AVE,60639,NEIGHBORHOOD PARK
GREENEBAUM (HENRY),1729 N KILDARE AVE,60639,NEIGHBORHOOD PARK
PLEASANT POINT,6813 W IMLAY ST,60631,NEIGHBORHOOD PARK
NORWOOD,5801 N NATOMA AVE,60631,COMMUNITY PARK
PORTAGE,4100 N LONG AVE,60641,REGIONAL PARK
SHABBONA,6935 W ADDISON,60634,REGIONAL PARK
JACOB,4674 N VIRGINIA AVE,60625,MINI-PARK
BUFFALO,4500 N CALIFORNIA AVE,60625,PARKWAY PARK
SUNKEN GARDENS,2634 W SUNNYSIDE AVE,60625,PASSIVE PARK
RAVENSWOOD MANOR,4626 N MANOR AVE,60625,NEIGHBORHOOD PARK
INDIAN BOUNDARY,2500 W LUNT AVE,60645,COMMUNITY PARK
DURKIN (MARTIN),8441 S KOLIN AVE,60652,COMMUNITY PARK
POTTAWATTOMIE,7340 N ROGERS AVE,60626,COMMUNITY PARK
CHIPPEWA,6758 N SACRAMENTO AVE,60645,NEIGHBORHOOD PARK
MATANKY (EUGENE),6937 N RIDGE BLVD,60626,MINI-PARK
RIDGE,9625 S LONGWOOD DR,60643,COMMUNITY PARK
COSME (MARGARET),2100 W 91ST ST,60620,NEIGHBORHOOD PARK
BRAINERD,1246 W 92ND ST,60620,COMMUNITY PARK
GRAVER (PHILIP),1518 W 102ND PL,60643,NEIGHBORHOOD PARK
REVERE (PAUL),2509 W IRVING PARK RD,60618,COMMUNITY PARK
RIVER,5100 N FRANCISCO AVE,60625,REGIONAL PARK
BRANDS,3285 N ELSTON AVE,60618,COMMUNITY PARK
GREEN BRIAR,2650 W PETERSON AVE,60659,COMMUNITY PARK
COOPER (JACK),1332 W 117TH ST,60643,NEIGHBORHOOD PARK
CALIFORNIA,3801 N CALIFORNIA AVE,60618,COMMUNITY PARK
SAUGANASH,5861 N KOSTNER AVE,60646,COMMUNITY PARK
LA FOLLETTE (ROBERT),1333 N LARAMIE AVE,60651,REGIONAL PARK
FRANKLIN (BENJAMIN),1449 S KOLIN AVE,60623,COMMUNITY PARK
HOLSTEIN,2200 N OAKLEY AVE,60647,COMMUNITY PARK
GARFIELD (JAMES),100 N CENTRAL PARK DR,60624,CITYWIDE PARK
