Zip Code,num_public_transit_stops
60601,54
60602,25
60603,21
60604,28
60605,104
60606,33
60607,146
60608,342
60609,420
60610,126
60611,93
60612,302
60613,174
60614,186
60615,153
60616,231
60617,414
60618,275
60619,316
60620,305
60621,238
60622,171
60623,345
60624,198
60625,207
60626,118
60628,373
60629,259
60630,257
60631,151
60632,332
60633,75
60634,306
60636,220
60637,310
60638,291
60639,325
60640,171
60641,214
60642,98
60643,305
60644,297
60645,139
60646,171
60647,266
60649,181
60651,204
60652,170
60653,137
60654,71
60655,114
60656,71
60657,151
60659,128
60660,85
60661,34
