Health Center Facility,Address,Telephone Number,Zip Code
PCC - Lake Street Family Health Center,"14 West Lake  Street, Oak Park, I L  60302",708-383-9786,60302
Dr. James West Clinic at Haymarket Center**,"120 N. Sangamon, Chicago,  IL  60604",312-226-7984,60604
Access at Anixter Center**,"2020 N. Clybourn, Chicago, IL  60607",773-404-5277,60607
Near West Family Health Center,"1158 W. Taylor, Chicago, IL  60607",312-455-8640,60607
Pacific Garden Mission Clinic**++,"1458 S. Canal Street, Chicago, IL  60607",312-492-9410,60607
Alivio Medical Center - Morgan,"966 W. 21st Street, Chicago, IL  60608",312-829-6304,60608
Centro de Salud y Esperanza,"2001 S. California, Chicago, IL  60608",773-584-6200,60608
Kling Medical Center,"2720 W. 15th Street, Chicago, IL  60608",773-257-6730,60608
Lower West Side Neighborhood Health Center,"1713 S. Ashland, Chicago, IL  60608",312-746-5157,60608
Near West Family Center,"2310 W. Roosevelt, Chicago, IL  60608",312-413-1261,60608
Plaza Medical Center,"2507 W. Cermak, Chicago, IL  60608",773-523-0900,60608
Pilsen Family Health Center,"1817 S. Loomis, Chicago, IL  60608",312-666-6511,60608
Ashland Family Health Center,"5256 S. Ashland, Chicago, IL  60609",773-434-9216,60609
Cabrini Family Health Center,"1858 W. 35th Street, Chicago, IL  60609",773-523-1000,60609
Grand Boulevard Family Health Center,"5401 S. Wentworth, Chicago, IL  60609",773-288-6900,60609
Mile Square Back of the Yards Clinic,"4630 S. Bishop Pl, Chicago, IL  60609",312-996-2000,60609
Port Free Clinic++,"5013 S. Ashland, Chicago, IL  60609",773-650-5171,60609
Saint Basil's Free People's Clinic++,"1850 W. Garfield, Chicago, IL  60609",773-436-4870,60609
South State Family Health Center,"5050 S. State, Chicago, IL  60609",773-624-2700,60609
Taylor Family Health Center,"4501 S. State, Chicago, IL  60609",773-540-0800,60609
Winfield Moody Health Center,"1276 N. Clybourn, Chicago, IL  60610",,60610
Flannery Senior Clinic,"1531 N. Clybourn #401, Chicago, IL  60610",,60610
