Zip Code,median_property_prices,median_housing_costs,owner_median_housing_costs,renter_median_housing_costs,housing_cost_perc_income,unemployment_rates,poverty_levels,park_count,grocery_store_count,num_public_transit_stops,school_count,Population,total_healthcare_services,normalized_total_healthcare_services,normalized_park_count,normalized_grocery_store_count,normalized_num_public_transit_stops,normalized_school_count,total_normalized_services,Accessibility Index,Normalized Accessibility Index
60621,125834.0,975.0,993.0,972.0,38.8,18.2,33.6,14.0,2.0,238.0,15.0,27318.0,6.0,0.2727272727272727,0.5833333333333334,0.14285714285714285,0.543859649122807,0.4411764705882353,1.9839538686287914,7.262441864809984e-05,1.0
60636,128462.0,988.0,844.0,1054.0,38.9,20.9,31.5,8.0,2.0,220.0,13.0,31007.0,1.0,0.045454545454545456,0.3333333333333333,0.14285714285714285,0.49874686716791977,0.38235294117647056,1.402744829989412,4.523961782789086e-05,0.53
60628,145441.0,1106.0,1055.0,1140.0,27.3,18.4,23.2,18.0,3.0,373.0,25.0,59212.0,7.0,0.3181818181818182,0.75,0.21428571428571427,0.8822055137844611,0.7352941176470589,2.8999671638990523,4.8976004254189225e-05,0.59
60617,158247.0,993.0,992.0,994.0,23.3,12.0,22.1,23.0,8.0,414.0,27.0,79284.0,8.0,0.36363636363636365,0.9583333333333334,0.5714285714285714,0.9849624060150376,0.7941176470588235,3.6724783214721293,4.632054792230626e-05,0.55
60633,168123.0,1072.0,1029.0,1117.0,23.4,12.0,11.6,5.0,0.0,75.0,2.0,12485.0,1.0,0.045454545454545456,0.20833333333333334,0.0,0.13533834586466165,0.058823529411764705,0.44794975406430515,3.5879035167345225e-05,0.37
60620,177126.0,1112.0,1273.0,1044.0,28.7,16.7,22.6,16.0,9.0,305.0,22.0,66511.0,2.0,0.09090909090909091,0.6666666666666666,0.6428571428571429,0.7117794486215538,0.6470588235294118,2.759271172583866,4.1485937252241977e-05,0.46
60649,184683.0,1080.0,1313.0,1054.0,32.5,16.3,30.5,8.0,2.0,181.0,10.0,48720.0,4.0,0.18181818181818182,0.3333333333333333,0.14285714285714285,0.40100250626566414,0.29411764705882354,1.3531288113331457,2.7773579871369986e-05,0.23
60619,195499.0,1065.0,1235.0,1018.0,29.9,14.3,25.8,16.0,4.0,316.0,19.0,59892.0,2.0,0.09090909090909091,0.6666666666666666,0.2857142857142857,0.7393483709273183,0.5588235294117647,2.3414619436291266,3.909473625240644e-05,0.42
60623,203239.0,995.0,962.0,1008.0,31.6,10.1,27.0,17.0,7.0,345.0,34.0,77061.0,22.0,1.0,0.7083333333333334,0.5,0.8120300751879699,1.0,4.020363408521304,5.217118138255802e-05,0.65
60624,222852.0,1141.0,1504.0,1099.0,43.1,17.9,35.9,15.0,3.0,198.0,20.0,35711.0,9.0,0.4090909090909091,0.625,0.21428571428571427,0.44360902255639095,0.5882352941176471,2.2802209400506612,6.385206071100393e-05,0.85
60629,224522.0,1100.0,1285.0,1024.0,24.8,13.0,18.0,10.0,9.0,259.0,20.0,109292.0,7.0,0.3181818181818182,0.4166666666666667,0.6428571428571429,0.5964912280701754,0.5882352941176471,2.5624321498934504,2.3445743054326487e-05,0.15
60644,225935.0,1129.0,1415.0,1083.0,39.6,19.4,30.8,12.0,3.0,297.0,15.0,48317.0,7.0,0.3181818181818182,0.5,0.21428571428571427,0.6917293233082706,0.4411764705882353,2.1653733263640382,4.481597214984453e-05,0.52
