Zip Code,median_property_prices,median_housing_costs,owner_median_housing_costs,renter_median_housing_costs,housing_cost_perc_income,poverty_levels,unemployment_rates,cnt_comm_health_ctr
60621,"$125,834",$975,$993,$972,38.8%,33.6%,18.2%,10.0
60636,"$128,462",$988,$844,"$1,054",38.9%,31.5%,20.9%,2.0
60628,"$145,441","$1,106","$1,055","$1,140",27.3%,23.2%,18.4%,12.0
60617,"$158,247",$993,$992,$994,23.3%,22.1%,12.0%,9.0
60633,"$168,123","$1,072","$1,029","$1,117",23.4%,11.6%,12.0%,1.0
60620,"$177,126","$1,112","$1,273","$1,044",28.7%,22.6%,16.7%,3.0
60649,"$184,683","$1,080","$1,313","$1,054",32.5%,30.5%,16.3%,3.0
60619,"$195,499","$1,065","$1,235","$1,018",29.9%,25.8%,14.3%,3.0
60623,"$203,239",$995,$962,"$1,008",31.6%,27.0%,10.1%,22.0
60624,"$222,852","$1,141","$1,504","$1,099",43.1%,35.9%,17.9%,10.0
60629,"$224,522","$1,100","$1,285","$1,024",24.8%,18.0%,13.0%,12.0
60644,"$225,935","$1,129","$1,415","$1,083",39.6%,30.8%,19.4%,7.0
60632,"$225,965","$1,042","$1,214",$983,23.2%,15.0%,11.5%,6.0
60652,"$226,064","$1,503","$1,541","$1,308",23.6%,13.7%,9.3%,0.0
60609,"$228,662","$1,029","$1,261",$977,26.2%,26.8%,12.3%,14.0
60643,"$228,909","$1,318","$1,344","$1,249",19.7%,12.4%,9.3%,0.0
60651,"$237,391","$1,242","$1,436","$1,177",30.7%,25.0%,10.8%,9.0
60637,"$249,501","$1,182","$1,576","$1,119",38.1%,32.2%,14.7%,6.0
60626,"$273,013","$1,287","$1,666","$1,202",27.5%,19.6%,5.4%,8.0
60638,"$274,794","$1,235","$1,277","$1,201",17.4%,6.2%,5.5%,6.0
60660,"$278,697","$1,353","$1,818","$1,223",25.5%,16.2%,5.7%,4.0
60639,"$279,430","$1,255","$1,613","$1,162",27.4%,16.9%,6.0%,6.0
60655,"$302,945","$1,687","$1,781","$1,355",17.6%,5.2%,4.7%,0.0
60615,"$303,731","$1,517","$1,912","$1,374",32.2%,24.6%,8.0%,9.0
60645,"$307,188","$1,398","$1,525","$1,349",22.8%,16.3%,6.4%,4.0
60634,"$320,587","$1,439","$1,611","$1,237",20.9%,9.0%,4.5%,2.0
60608,"$322,593","$1,238","$1,595","$1,168",22.2%,17.4%,8.0%,19.0
60656,"$339,072","$1,363","$1,359","$1,364",19.7%,7.5%,4.5%,0.0
60612,"$340,538","$1,467","$1,985","$1,247",29.9%,26.7%,10.0%,6.0
60653,"$342,773","$1,163","$2,167",$856,39.7%,31.4%,15.7%,7.0
60640,"$343,840","$1,472","$2,024","$1,318",25.5%,18.5%,4.9%,6.0
60606,"$353,386","$2,325","$2,151","$2,366",20.9%,7.7%,3.3%,0.0
60641,"$353,951","$1,415","$2,016","$1,207",21.3%,12.8%,6.0%,0.0
60659,"$356,604","$1,362","$1,472","$1,331",25.5%,18.1%,5.8%,7.0
60630,"$356,639","$1,535","$1,871","$1,323",20.2%,8.2%,5.1%,0.0
60616,"$394,510","$1,395","$1,870","$1,240",23.1%,16.0%,5.7%,7.0
60625,"$394,920","$1,580","$2,146","$1,415",22.7%,12.5%,6.3%,9.0
60613,"$396,573","$1,753","$2,281","$1,593",22.8%,9.1%,4.2%,8.0
60661,"$409,269","$2,428","$2,517","$2,396",20.8%,5.1%,2.9%,1.0
60631,"$411,401","$1,710","$1,892","$1,550",18.2%,7.0%,3.8%,0.0
60605,"$479,952","$2,411","$2,777","$2,330",24.8%,9.4%,5.9%,0.0
60646,"$487,605","$1,763","$2,092","$1,252",18.8%,6.6%,3.4%,0.0
60607,"$499,336","$2,441","$2,602","$2,358",24.5%,16.1%,5.6%,5.0
60654,"$500,328","$2,615","$3,007","$2,490",22.7%,7.2%,2.9%,1.0
60610,"$503,586","$2,171","$2,755","$1,959",24.5%,12.0%,3.0%,3.0
60618,"$507,912","$1,797","$2,501","$1,461",21.4%,7.8%,4.6%,1.0
60657,"$532,828","$1,997","$2,857","$1,781",22.7%,7.4%,3.5%,3.0
60647,"$537,855","$1,871","$2,667","$1,623",23.0%,12.4%,4.1%,12.0
60642,"$591,524","$2,361","$3,171","$2,109",20.6%,7.7%,3.7%,0.0
60601,"$608,488","$2,533","$2,601","$2,513",25.1%,5.5%,1.6%,0.0
60622,"$615,731","$2,208","$3,125","$1,854",22.2%,9.2%,3.2%,16.0
60611,"$664,065","$2,579","$3,067","$2,388",24.4%,8.9%,2.2%,1.0
60614,"$727,156","$2,364","$3,292","$1,949",21.0%,8.6%,3.0%,0.0
60603,"$731,809","$2,561","$2,915","$2,056",24.6%,10.7%,5.1%,0.0
