Entity DCID,Entity properties isoCode,Entity properties name,Variable DCID,Variable observation date,Variable observation metadata importName,Variable observation metadata provenanceUrl,Variable observation metadata scalingFactor,Variable observation metadata unit,Variable observation metadata unitDisplayName,Variable observation value,Variable properties name
zip/60601,,60601,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,16292,Total Population
zip/60602,,60602,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,1127,Total Population
zip/60603,,60603,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,1126,Total Population
zip/60604,,60604,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,653,Total Population
zip/60605,,60605,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,34256,Total Population
zip/60606,,60606,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,3527,Total Population
zip/60607,,60607,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,30197,Total Population
zip/60608,,60608,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,81459,Total Population
zip/60609,,60609,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,64268,Total Population
zip/60610,,60610,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,45282,Total Population
zip/60611,,60611,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,36036,Total Population
zip/60612,,60612,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,34699,Total Population
zip/60613,,60613,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,51334,Total Population
zip/60614,,60614,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,70444,Total Population
zip/60615,,60615,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,42752,Total Population
zip/60616,,60616,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,54456,Total Population
zip/60617,,60617,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,79284,Total Population
zip/60618,,60618,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,91896,Total Population
zip/60619,,60619,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,59892,Total Population
zip/60621,,60621,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,27318,Total Population
zip/60622,,60622,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,53696,Total Population
