ZCTA20,ZCTA_AREA20,TOT_POP_2020,COUNT_NTM_STOPS,STOPS_PER_CAPITA,STOPS_PER_SQMILE
01001,11.29249668,16064,33,2.054282904,2.922294378
01002,53.25580216,30099,120,3.986843348,2.253275633
01003,0.804123402,11588,27,2.329996586,33.57693481
01005,43.18907547,5166,0,0,0
01007,54.86940765,15080,25,1.657824993,0.455627292
01008,61.18598175,1116,0,0,0
01009,0.697486997,649,0,0,0
01010,35.22652817,3663,0,0,0
01011,32.79512024,1486,0,0,0
01012,12.06671143,595,0,0,0
01013,5.659937859,22739,94,4.133866787,16.60795593
01020,12.46092033,30249,67,2.214949369,5.376810074
01022,4.814258575,2203,1,0.453926474,0.207716301
01026,28.05215454,1030,0,0,0
01027,40.58595276,17641,15,0.850291908,0.369585991
01028,12.92133522,16215,12,0.740055502,0.928696573
01029,9.970493317,572,0,0,0
01030,12.02939129,12563,24,1.91037178,1.995113373
01031,6.732785702,1436,0,0,0
01032,9.649409294,482,0,0,0
01033,27.80929184,6310,3,0.475435823,0.107877612
01034,67.7480545,2115,0,0,0
01035,23.08375931,5328,41,7.695195198,1.776140451
01036,19.61074066,5174,0,0,0
01037,18.5760746,642,0,0,0
01038,9.22326088,2653,0,0,0
01039,16.49130058,1368,3,2.192982435,0.181914091
01040,21.16482925,40161,190,4.730957985,8.977157593
01050,41.36869431,2454,0,0,0
01053,5.750567913,1850,3,1.621621609,0.521687627
01054,22.9307518,1875,0,0,0
01056,27.19558525,21223,11,0.5183056,0.404477418
01057,44.54257584,8778,0,0,0
01060,10.86777401,16386,42,2.563163757,3.864636898
01062,17.45150375,9693,29,2.991849899,1.661747932
01063,0.088367976,623,2,3.210272789,22.63263321
01066,1.26164782,30,0,0,0
01068,21.72010803,1636,0,0,0
01069,28.05809593,8716,0,0,0
01070,19.83956718,679,0,0,0
01071,15.69750977,1392,0,0,0
01072,19.09315682,1541,0,0,0
01073,28.15400124,6169,0,0,0
01074,0.259327441,396,0,0,0
01075,17.72194099,17715,27,1.524132133,1.523535132
01077,30.85449982,9722,0,0,0
01079,1.607470274,515,0,0,0
01080,1.66528213,2419,0,0,0
01081,14.47308445,1937,0,0,0
01082,47.00917435,10341,2,0.193404898,0.042544887
01083,12.75731659,3125,0,0,0
01084,8.331342697,165,0,0,0
01085,59.72630692,41758,43,1.029742837,0.719950736
01088,5.253695965,588,0,0,0
01089,16.73041344,28527,111,3.891050577,6.634624004
01092,6.721168041,1200,0,0,0
01093,4.313844681,295,0,0,0
01094,0.719687104,428,0,0,0
01095,22.48922539,14740,0,0,0
01096,35.88340759,2288,1,0.437062949,0.027868033
01097,1.740333438,93,0,0,0
01098,31.88564873,1182,0,0,0
01103,0.434798896,1989,54,27.1493206,124.1953506
01104,5.232117653,23150,113,4.881209374,21.59737396
01105,1.205902815,12651,62,4.900798321,51.41376114
01106,9.585579872,15982,32,2.002252579,3.338347912
01107,1.542338014,11693,78,6.670657635,50.5725708
01108,3.441093683,26397,157,5.947645664,45.62503052
01109,5.441201687,30684,186,6.061790943,34.18362427
01118,3.595763922,14839,44,2.965159416,12.2366209
01119,3.530633211,13253,42,3.169093847,11.89588356
01128,1.108973384,2989,1,0.334560067,0.901734889
01129,3.436093092,6296,15,2.382465124,4.365423203
01144, , ,1, , 
01151,2.368737459,9485,44,4.638903618,18.5752964
01201,60.37216187,43941,72,1.638560772,1.192602634
01220,22.88860512,8129,4,0.49206546,0.174759448
01222,4.59196806,720,0,0,0
01223,69.54321289,2499,0,0,0
01224,0.465392083,163,0,0,0
01225,26.81192589,3093,4,1.293242812,0.149187341
01226,21.75924873,6698,9,1.343684673,0.413617224
01229,2.482743502,59,2,33.89830399,0.80556047
01230,96.97828674,8354,27,3.231984615,0.278412849
01235,46.66129685,2369,1,0.422119051,0.021431038
01236,6.616084576,1577,3,1.902346253,0.453440398
01237,49.30981064,2522,5,1.982553482,0.101399697
01238,27.60235024,5980,8,1.337792635,0.289830387
01240,23.9134388,4666,4,0.857265353,0.16726996
01242,0.459455401,337,4,11.86943626,8.70595932
01243,14.28683186,258,0,0,0
01244,5.759925842,120,0,0,0
01245,25.86748314,774,0,0,0
01247,45.91532517,15340,16,1.043024778,0.348467529
01253,21.21309662,789,0,0,0
01254,14.46331692,961,0,0,0
01255,50.52217102,891,0,0,0
01256,35.85384369,701,0,0,0
01257,33.89686585,1858,0,0,0
01258,22.25064659,604,0,0,0
01259,22.92534065,617,0,0,0
01260,2.58711338,191,0,0,0
01262,19.75426865,1136,2,1.760563374,0.101243943
01264,14.53845406,214,0,0,0
01266,20.21006966,1281,0,0,0
01267,59.3067627,7796,15,1.924063563,0.252922267
01270,32.25017929,897,0,0,0
01301,25.34856987,17611,0,0,0
01330,34.47333145,1594,0,0,0
01331,54.16246033,13609,0,0,0
01337,37.39204025,2442,0,0,0
01338,1.309770107,150,0,0,0
01339,58.35704422,1410,0,0,0
01340,52.03350449,1780,0,0,0
01341,33.56142426,1796,0,0,0
01342,18.41239166,1165,0,0,0
01343,11.48350716,78,0,0,0
01344,13.79277611,1343,0,0,0
01346,13.37709141,544,0,0,0
01347,0.357249916,139,0,0,0
01349,9.869624138,1267,0,0,0
01350,10.68727684,100,0,0,0
01351,19.59274864,2577,0,0,0
01354,13.74927998,1732,0,0,0
01355,47.49959183,981,0,0,0
01360,34.31042099,2973,0,0,0
