Zip Code,housing_cost_perc_income
60624,43.1%
60653,39.7%
60644,39.6%
60636,38.9%
60621,38.8%
60637,38.1%
60604,34.1%
60649,32.5%
60615,32.2%
60623,31.6%
60651,30.7%
60612,29.9%
60619,29.9%
60620,28.7%
60626,27.5%
60639,27.4%
60628,27.3%
60609,26.2%
60660,25.5%
60659,25.5%
60640,25.5%
60601,25.1%
60605,24.8%
60629,24.8%
60603,24.6%
60610,24.5%
60607,24.5%
60611,24.4%
60652,23.6%
60633,23.4%
60617,23.3%
60632,23.2%
60616,23.1%
60647,23.0%
60613,22.8%
60645,22.8%
60657,22.7%
60625,22.7%
60654,22.7%
60622,22.2%
60608,22.2%
60618,21.4%
60641,21.3%
60614,21.0%
60606,20.9%
60634,20.9%
60661,20.8%
60642,20.6%
60630,20.2%
60656,19.7%
60643,19.7%
60602,19.5%
60646,18.8%
60631,18.2%
60655,17.6%
60638,17.4%
