Zip Code,median_housing_costs
60621,$975
60636,$988
60617,$993
60623,$995
60609,"$1,029"
60632,"$1,042"
60619,"$1,065"
60633,"$1,072"
60649,"$1,080"
60629,"$1,100"
60628,"$1,106"
60620,"$1,112"
60644,"$1,129"
60624,"$1,141"
60653,"$1,163"
60637,"$1,182"
60638,"$1,235"
60608,"$1,238"
60651,"$1,242"
60639,"$1,255"
60626,"$1,287"
60643,"$1,318"
60660,"$1,353"
60659,"$1,362"
60656,"$1,363"
60616,"$1,395"
60645,"$1,398"
60641,"$1,415"
60634,"$1,439"
60612,"$1,467"
60640,"$1,472"
60652,"$1,503"
60615,"$1,517"
60630,"$1,535"
60625,"$1,580"
60655,"$1,687"
60631,"$1,710"
60613,"$1,753"
60646,"$1,763"
60618,"$1,797"
60647,"$1,871"
60657,"$1,997"
60610,"$2,171"
60604,"$2,181"
60622,"$2,208"
60606,"$2,325"
60642,"$2,361"
60614,"$2,364"
60605,"$2,411"
60661,"$2,428"
60607,"$2,441"
60601,"$2,533"
60603,"$2,561"
60611,"$2,579"
60654,"$2,615"
60602,"$2,722"
