Zip Code,owner_median_housing_costs
60614,"$3,292"
60642,"$3,171"
60622,"$3,125"
60602,"$3,103"
60611,"$3,067"
60654,"$3,007"
60603,"$2,915"
60657,"$2,857"
60605,"$2,777"
60610,"$2,755"
60647,"$2,667"
60607,"$2,602"
60601,"$2,601"
60661,"$2,517"
60618,"$2,501"
60604,"$2,389"
60613,"$2,281"
60653,"$2,167"
60606,"$2,151"
60625,"$2,146"
60646,"$2,092"
60640,"$2,024"
60641,"$2,016"
60612,"$1,985"
60615,"$1,912"
60631,"$1,892"
60630,"$1,871"
60616,"$1,870"
60660,"$1,818"
60655,"$1,781"
60626,"$1,666"
60639,"$1,613"
60634,"$1,611"
60608,"$1,595"
60637,"$1,576"
60652,"$1,541"
60645,"$1,525"
60624,"$1,504"
60659,"$1,472"
60651,"$1,436"
60644,"$1,415"
60656,"$1,359"
60643,"$1,344"
60649,"$1,313"
60629,"$1,285"
60638,"$1,277"
60620,"$1,273"
60609,"$1,261"
60619,"$1,235"
60632,"$1,214"
60628,"$1,055"
60633,"$1,029"
60621,$993
60617,$992
60623,$962
60636,$844
