Zip Code,unemployment_rates
60636,20.9%
60644,19.4%
60628,18.4%
60621,18.2%
60624,17.9%
60620,16.7%
60649,16.3%
60653,15.7%
60637,14.7%
60619,14.3%
60629,13.0%
60609,12.3%
60617,12.0%
60633,12.0%
60632,11.5%
60651,10.8%
60623,10.1%
60612,10.0%
60643,9.3%
60652,9.3%
60602,8.5%
60608,8.0%
60615,8.0%
60645,6.4%
60625,6.3%
60639,6.0%
60641,6.0%
60605,5.9%
60659,5.8%
60616,5.7%
60660,5.7%
60604,5.7%
60607,5.6%
60638,5.5%
60626,5.4%
60630,5.1%
60603,5.1%
60640,4.9%
60655,4.7%
60618,4.6%
60634,4.5%
60656,4.5%
60613,4.2%
60647,4.1%
60631,3.8%
60642,3.7%
60657,3.5%
60646,3.4%
60606,3.3%
60622,3.2%
60614,3.0%
60610,3.0%
60654,2.9%
60661,2.9%
60611,2.2%
60601,1.6%
